task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 307  1468505896.33270407  1468505896.33306789  0.00036383
 308  1468505896.33315110  1468505896.33351302  0.00036192
 309  1468505896.33359599  1468505896.33395791  0.00036192
 310  1468505896.33404112  1468505896.33440495  0.00036383
 311  1468505896.33448911  1468505896.33485198  0.00036287
 312  1468505896.33493495  1468505896.33529711  0.00036216
 313  1468505896.33537889  1468505896.33574390  0.00036502
 314  1468505896.33582711  1468505896.33619189  0.00036478
 315  1468505896.33627391  1468505896.33663702  0.00036311
 316  1468505896.33671904  1468505896.33708000  0.00036097
 317  1468505896.33716393  1468505896.33752489  0.00036097
 318  1468505896.33760810  1468505896.33797097  0.00036287
 319  1468505896.33805490  1468505896.33841801  0.00036311
 320  1468505896.33850002  1468505896.33886290  0.00036287
 321  1468505896.33894610  1468505896.33930802  0.00036192
 322  1468505896.33939004  1468505896.33975196  0.00036192
 323  1468505896.33983493  1468505896.34019804  0.00036311
 324  1468505896.34028006  1468505896.34067202  0.00039196
 325  1468505896.34075809  1468505896.34112310  0.00036502
 326  1468505896.34120607  1468505896.34156895  0.00036287
 327  1468505896.34165192  1468505896.34201503  0.00036311
 328  1468505896.34209800  1468505896.34246111  0.00036311
 329  1468505896.34254408  1468505896.34290600  0.00036192
 330  1468505896.34298897  1468505896.34335208  0.00036311
 331  1468505896.34343505  1468505896.34379792  0.00036287
 332  1468505896.34388089  1468505896.34424305  0.00036216
 333  1468505896.34432697  1468505896.34468889  0.00036192
 334  1468505896.34477091  1468505896.34513211  0.00036120
 335  1468505896.34521699  1468505896.34558892  0.00037193
 336  1468505896.34567094  1468505896.34604001  0.00036907
 337  1468505896.34612393  1468505896.34649205  0.00036812
 338  1468505896.34657502  1468505896.34693789  0.00036287
 339  1468505896.34702110  1468505896.34738302  0.00036192
 340  1468505896.34746695  1468505896.34783101  0.00036407
 341  1468505896.34791398  1468505896.34827495  0.00036097
 342  1468505896.34835792  1468505896.34871888  0.00036097
 343  1468505896.34880209  1468505896.34916401  0.00036192
 344  1468505896.34924698  1468505896.34961009  0.00036311
 345  1468505896.34969211  1468505896.35005498  0.00036287
 346  1468505896.35013700  1468505896.35050201  0.00036502
 347  1468505896.35058403  1468505896.35094595  0.00036192
 348  1468505896.35102797  1468505896.35138988  0.00036192
 349  1468505896.35147405  1468505896.35183597  0.00036192
 350  1468505896.35191989  1468505896.35228205  0.00036216
 351  1468505896.35236597  1468505896.35273004  0.00036407
 352  1468505896.35281301  1468505896.35317397  0.00036097
 353  1468505896.35325694  1468505896.35362101  0.00036407
 354  1468505896.35370493  1468505896.35406709  0.00036216
 355  1468505896.35414910  1468505896.35451102  0.00036192
 356  1468505896.35459399  1468505896.35495591  0.00036192
 357  1468505896.35503888  1468505896.35540199  0.00036311
 358  1468505896.35548496  1468505896.35585189  0.00036693
 359  1468505896.35593510  1468505896.35629606  0.00036097
 360  1468505896.35637808  1468505896.35674191  0.00036383
 361  1468505896.35682511  1468505896.35718703  0.00036192
