task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 251  1468506024.17129302  1468506024.17164612  0.00035310
 252  1468506024.17172599  1468506024.17207909  0.00035310
 253  1468506024.17215991  1468506024.17251301  0.00035310
 254  1468506024.17259407  1468506024.17294502  0.00035095
 255  1468506024.17302608  1468506024.17337799  0.00035191
 256  1468506024.17345810  1468506024.17381001  0.00035191
 257  1468506024.17389107  1468506024.17424393  0.00035286
 258  1468506024.17432499  1468506024.17467594  0.00035095
 259  1468506024.17475700  1468506024.17510891  0.00035191
 260  1468506024.17518902  1468506024.17554903  0.00036001
 261  1468506024.17563009  1468506024.17598295  0.00035286
 262  1468506024.17606306  1468506024.17641592  0.00035286
 263  1468506024.17649603  1468506024.17685008  0.00035405
 264  1468506024.17692995  1468506024.17728305  0.00035310
 265  1468506024.17736411  1468506024.17771602  0.00035191
 266  1468506024.17779708  1468506024.17814898  0.00035191
 267  1468506024.17823005  1468506024.17858195  0.00035191
 268  1468506024.17866206  1468506024.17901492  0.00035286
 269  1468506024.17909503  1468506024.17944694  0.00035191
 270  1468506024.17952800  1468506024.17988110  0.00035310
 271  1468506024.17996192  1468506024.18033791  0.00037599
 272  1468506024.18041897  1468506024.18077588  0.00035691
 273  1468506024.18085694  1468506024.18120909  0.00035214
 274  1468506024.18128896  1468506024.18164110  0.00035214
 275  1468506024.18172097  1468506024.18207312  0.00035214
 276  1468506024.18215394  1468506024.18250704  0.00035310
 277  1468506024.18258810  1468506024.18294001  0.00035191
 278  1468506024.18302107  1468506024.18337297  0.00035191
 279  1468506024.18345404  1468506024.18380904  0.00035501
 280  1468506024.18389010  1468506024.18424296  0.00035286
 281  1468506024.18432403  1468506024.18467498  0.00035095
 282  1468506024.18475699  1468506024.18510890  0.00035191
 283  1468506024.18518901  1468506024.18554807  0.00035906
 284  1468506024.18562889  1468506024.18598390  0.00035501
 285  1468506024.18606496  1468506024.18641806  0.00035310
 286  1468506024.18649697  1468506024.18685102  0.00035405
 287  1468506024.18693304  1468506024.18728709  0.00035405
 288  1468506024.18736792  1468506024.18772006  0.00035214
 289  1468506024.18780088  1468506024.18815303  0.00035214
 290  1468506024.18823409  1468506024.18858600  0.00035191
 291  1468506024.18866611  1468506024.18902206  0.00035596
 292  1468506024.18910289  1468506024.18945503  0.00035214
 293  1468506024.18953609  1468506024.18988800  0.00035191
 294  1468506024.18996906  1468506024.19034410  0.00037503
 295  1468506024.19042611  1468506024.19077992  0.00035381
 296  1468506024.19086003  1468506024.19121408  0.00035405
 297  1468506024.19129610  1468506024.19164896  0.00035286
 298  1468506024.19172907  1468506024.19208193  0.00035286
 299  1468506024.19216299  1468506024.19251394  0.00035095
 300  1468506024.19259310  1468506024.19294596  0.00035286
 301  1468506024.19302607  1468506024.19337702  0.00035095
 302  1468506024.19345808  1468506024.19380999  0.00035191
 303  1468506024.19389105  1468506024.19424295  0.00035191
 304  1468506024.19432402  1468506024.19467497  0.00035095
 305  1468506024.19475603  1468506024.19510698  0.00035095
 306  1468506024.19518805  1468506024.19554806  0.00036001
 307  1468506024.19563007  1468506024.19598508  0.00035501
 308  1468506024.19606590  1468506024.19641995  0.00035405
 309  1468506024.19650006  1468506024.19685292  0.00035286
 310  1468506024.19693303  1468506024.19728708  0.00035405
 311  1468506024.19736791  1468506024.19771910  0.00035119
 312  1468506024.19779992  1468506024.19815207  0.00035214
 313  1468506024.19823194  1468506024.19858289  0.00035095
 314  1468506024.19866300  1468506024.19901490  0.00035191
 315  1468506024.19909406  1468506024.19944596  0.00035191
 316  1468506024.19952703  1468506024.19987893  0.00035191
 317  1468506024.19995904  1468506024.20033407  0.00037503
 318  1468506024.20041609  1468506024.20077300  0.00035691
 319  1468506024.20085502  1468506024.20120692  0.00035191
 320  1468506024.20128798  1468506024.20164204  0.00035405
 321  1468506024.20172310  1468506024.20207596  0.00035286
 322  1468506024.20215702  1468506024.20250893  0.00035191
 323  1468506024.20258999  1468506024.20294189  0.00035191
 324  1468506024.20302296  1468506024.20337510  0.00035214
 325  1468506024.20345592  1468506024.20380712  0.00035119
 326  1468506024.20388794  1468506024.20423889  0.00035095
 327  1468506024.20431900  1468506024.20466995  0.00035095
 328  1468506024.20475197  1468506024.20510411  0.00035214
 329  1468506024.20518494  1468506024.20554090  0.00035596
 330  1468506024.20562196  1468506024.20597696  0.00035501
 331  1468506024.20605707  1468506024.20641088  0.00035381
 332  1468506024.20649099  1468506024.20684409  0.00035310
 333  1468506024.20692492  1468506024.20727897  0.00035405
 334  1468506024.20736098  1468506024.20771289  0.00035191
 335  1468506024.20779395  1468506024.20814610  0.00035214
 336  1468506024.20822692  1468506024.20857906  0.00035214
 337  1468506024.20865989  1468506024.20901203  0.00035214
 338  1468506024.20909190  1468506024.20944405  0.00035214
 339  1468506024.20952392  1468506024.20987701  0.00035310
 340  1468506024.20995808  1468506024.21033192  0.00037384
 341  1468506024.21041393  1468506024.21077108  0.00035715
 342  1468506024.21085191  1468506024.21120596  0.00035405
 343  1468506024.21128702  1468506024.21163797  0.00035095
 344  1468506024.21171808  1468506024.21206999  0.00035191
 345  1468506024.21215105  1468506024.21250391  0.00035286
 346  1468506024.21258593  1468506024.21293807  0.00035214
 347  1468506024.21301889  1468506024.21337104  0.00035214
 348  1468506024.21345091  1468506024.21380401  0.00035310
 349  1468506024.21388507  1468506024.21423697  0.00035191
 350  1468506024.21431708  1468506024.21466899  0.00035191
 351  1468506024.21475005  1468506024.21510506  0.00035501
 352  1468506024.21518612  1468506024.21554303  0.00035691
 353  1468506024.21562290  1468506024.21597791  0.00035501
 354  1468506024.21605897  1468506024.21641207  0.00035310
 355  1468506024.21649194  1468506024.21684790  0.00035596
 356  1468506024.21692705  1468506024.21728206  0.00035501
 357  1468506024.21736312  1468506024.21771407  0.00035095
 358  1468506024.21779490  1468506024.21814799  0.00035310
 359  1468506024.21822906  1468506024.21858096  0.00035191
 360  1468506024.21866107  1468506024.21901393  0.00035286
 361  1468506024.21909404  1468506024.21944594  0.00035191
 362  1468506024.21952605  1468506024.21987796  0.00035191
 363  1468506024.21995902  1468506024.22033405  0.00037503
 364  1468506024.22041512  1468506024.22077394  0.00035882
 365  1468506024.22085404  1468506024.22120595  0.00035191
 366  1468506024.22128701  1468506024.22163892  0.00035191
 367  1468506024.22171998  1468506024.22207403  0.00035405
 368  1468506024.22215390  1468506024.22250700  0.00035310
 369  1468506024.22258902  1468506024.22294092  0.00035191
 370  1468506024.22302198  1468506024.22337389  0.00035191
 371  1468506024.22345495  1468506024.22380805  0.00035310
 372  1468506024.22388792  1468506024.22424006  0.00035214
 373  1468506024.22431993  1468506024.22467208  0.00035214
 374  1468506024.22475410  1468506024.22510600  0.00035191
 375  1468506024.22518802  1468506024.22554398  0.00035596
 376  1468506024.22562599  1468506024.22597909  0.00035310
 377  1468506024.22605991  1468506024.22641206  0.00035214
 378  1468506024.22649193  1468506024.22684693  0.00035501
 379  1468506024.22692800  1468506024.22727990  0.00035191
 380  1468506024.22736001  1468506024.22771311  0.00035310
 381  1468506024.22779489  1468506024.22814703  0.00035214
 382  1468506024.22822905  1468506024.22858191  0.00035286
 383  1468506024.22866392  1468506024.22901607  0.00035214
 384  1468506024.22909689  1468506024.22944903  0.00035214
 385  1468506024.22952890  1468506024.22988009  0.00035119
 386  1468506024.22995996  1468506024.23033500  0.00037503
 387  1468506024.23041701  1468506024.23077607  0.00035906
 388  1468506024.23085690  1468506024.23120999  0.00035310
 389  1468506024.23129106  1468506024.23164392  0.00035286
 390  1468506024.23172402  1468506024.23207688  0.00035286
 391  1468506024.23215890  1468506024.23251104  0.00035214
 392  1468506024.23259211  1468506024.23294497  0.00035286
 393  1468506024.23302698  1468506024.23337889  0.00035191
 394  1468506024.23345995  1468506024.23381209  0.00035214
 395  1468506024.23389292  1468506024.23424411  0.00035119
 396  1468506024.23432493  1468506024.23467803  0.00035310
 397  1468506024.23475790  1468506024.23510909  0.00035119
 398  1468506024.23519111  1468506024.23554802  0.00035691
 399  1468506024.23563004  1468506024.23598289  0.00035286
 400  1468506024.23606396  1468506024.23641706  0.00035310
 401  1468506024.23649693  1468506024.23684812  0.00035119
 402  1468506024.23692703  1468506024.23727894  0.00035191
 403  1468506024.23736000  1468506024.23771191  0.00035191
 404  1468506024.23779202  1468506024.23814607  0.00035405
 405  1468506024.23822689  1468506024.23857999  0.00035310
 406  1468506024.23866105  1468506024.23901296  0.00035191
 407  1468506024.23909402  1468506024.23944807  0.00035405
 408  1468506024.23952794  1468506024.23988008  0.00035214
 409  1468506024.23996091  1468506024.24033594  0.00037503
 410  1468506024.24041700  1468506024.24077296  0.00035596
 411  1468506024.24085498  1468506024.24120998  0.00035501
 412  1468506024.24129200  1468506024.24164391  0.00035191
 413  1468506024.24172497  1468506024.24207592  0.00035095
 414  1468506024.24215698  1468506024.24251008  0.00035310
 415  1468506024.24259305  1468506024.24294591  0.00035286
 416  1468506024.24302793  1468506024.24338102  0.00035310
 417  1468506024.24346209  1468506024.24381399  0.00035191
 418  1468506024.24389410  1468506024.24424696  0.00035286
 419  1468506024.24432707  1468506024.24468303  0.00035596
 420  1468506024.24476504  1468506024.24511600  0.00035095
