task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 295  1468506049.13839602  1468506049.13840604  0.00001001
 296  1468506049.13847303  1468506049.13848400  0.00001097
 297  1468506049.13855100  1468506049.13856196  0.00001097
 298  1468506049.13862896  1468506049.13863897  0.00001001
 299  1468506049.13870597  1468506049.13872004  0.00001407
 300  1468506049.13878608  1468506049.13879704  0.00001097
 301  1468506049.13886309  1468506049.13887405  0.00001097
 302  1468506049.13894105  1468506049.13895106  0.00001001
 303  1468506049.13901901  1468506049.13902903  0.00001001
 304  1468506049.13909602  1468506049.13910794  0.00001192
 305  1468506049.13917494  1468506049.13918495  0.00001001
 306  1468506049.13925195  1468506049.13926196  0.00001001
 307  1468506049.13932800  1468506049.13933802  0.00001001
 308  1468506049.13940501  1468506049.13941503  0.00001001
 309  1468506049.13948298  1468506049.13949299  0.00001001
 310  1468506049.13955998  1468506049.13957000  0.00001001
 311  1468506049.13963795  1468506049.13964796  0.00001001
 312  1468506049.13971496  1468506049.13972592  0.00001097
 313  1468506049.13979292  1468506049.13980293  0.00001001
 314  1468506049.13986897  1468506049.13987994  0.00001097
 315  1468506049.13994694  1468506049.13995790  0.00001097
 316  1468506049.14002490  1468506049.14003611  0.00001121
 317  1468506049.14010310  1468506049.14011312  0.00001001
 318  1468506049.14018106  1468506049.14019108  0.00001001
 319  1468506049.14025807  1468506049.14026809  0.00001001
 320  1468506049.14036107  1468506049.14037204  0.00001097
 321  1468506049.14044404  1468506049.14045811  0.00001407
 322  1468506049.14052892  1468506049.14054108  0.00001216
 323  1468506049.14060807  1468506049.14061904  0.00001097
 324  1468506049.14068699  1468506049.14069796  0.00001097
 325  1468506049.14076495  1468506049.14077497  0.00001001
 326  1468506049.14084196  1468506049.14085293  0.00001097
 327  1468506049.14091992  1468506049.14092994  0.00001001
 328  1468506049.14099693  1468506049.14100695  0.00001001
 329  1468506049.14107394  1468506049.14108491  0.00001097
 330  1468506049.14115310  1468506049.14116311  0.00001001
 331  1468506049.14123106  1468506049.14124107  0.00001001
 332  1468506049.14130712  1468506049.14131808  0.00001097
 333  1468506049.14138389  1468506049.14139509  0.00001121
 334  1468506049.14146209  1468506049.14147210  0.00001001
 335  1468506049.14154005  1468506049.14155006  0.00001001
 336  1468506049.14161706  1468506049.14162803  0.00001097
 337  1468506049.14169407  1468506049.14170504  0.00001097
 338  1468506049.14177108  1468506049.14178205  0.00001097
 339  1468506049.14184904  1468506049.14185905  0.00001001
 340  1468506049.14192605  1468506049.14193702  0.00001097
 341  1468506049.14200401  1468506049.14201403  0.00001001
 342  1468506049.14208007  1468506049.14209104  0.00001097
 343  1468506049.14215803  1468506049.14216805  0.00001001
 344  1468506049.14223504  1468506049.14224601  0.00001097
 345  1468506049.14231396  1468506049.14232492  0.00001097
 346  1468506049.14239192  1468506049.14240289  0.00001097
 347  1468506049.14246988  1468506049.14248109  0.00001121
 348  1468506049.14254689  1468506049.14255810  0.00001121
 349  1468506049.14262509  1468506049.14263511  0.00001001
 350  1468506049.14270091  1468506049.14271212  0.00001121
 351  1468506049.14277911  1468506049.14279008  0.00001097
 352  1468506049.14285588  1468506049.14286709  0.00001121
 353  1468506049.14293289  1468506049.14294410  0.00001121
 354  1468506049.14301109  1468506049.14302111  0.00001001
 355  1468506049.14308691  1468506049.14309692  0.00001001
 356  1468506049.14316392  1468506049.14317489  0.00001097
 357  1468506049.14324188  1468506049.14325309  0.00001121
 358  1468506049.14331889  1468506049.14333010  0.00001121
 359  1468506049.14339805  1468506049.14341092  0.00001287
 360  1468506049.14347696  1468506049.14348793  0.00001097
 361  1468506049.14355493  1468506049.14356494  0.00001001
 362  1468506049.14363194  1468506049.14364290  0.00001097
 363  1468506049.14370894  1468506049.14371991  0.00001097
 364  1468506049.14378500  1468506049.14379597  0.00001097
 365  1468506049.14386296  1468506049.14387298  0.00001001
 366  1468506049.14393997  1468506049.14394999  0.00001001
 367  1468506049.14401793  1468506049.14402795  0.00001001
 368  1468506049.14409494  1468506049.14410496  0.00001001
 369  1468506049.14417195  1468506049.14418197  0.00001001
 370  1468506049.14424896  1468506049.14425898  0.00001001
 371  1468506049.14432693  1468506049.14433694  0.00001001
 372  1468506049.14440489  1468506049.14441490  0.00001001
 373  1468506049.14448190  1468506049.14449191  0.00001001
 374  1468506049.14455891  1468506049.14456892  0.00001001
 375  1468506049.14463592  1468506049.14464688  0.00001097
 376  1468506049.14471292  1468506049.14472389  0.00001097
 377  1468506049.14479399  1468506049.14480495  0.00001097
 378  1468506049.14487195  1468506049.14488292  0.00001097
 379  1468506049.14494896  1468506049.14495993  0.00001097
 380  1468506049.14502692  1468506049.14503694  0.00001001
 381  1468506049.14510393  1468506049.14511395  0.00001001
 382  1468506049.14518094  1468506049.14519095  0.00001001
 383  1468506049.14525795  1468506049.14526796  0.00001001
 384  1468506049.14533496  1468506049.14534593  0.00001097
